problem,solver,settings,runtime,found,cost_error,primal_error
DUAL2,osqp,high_accuracy,0.004767481004819274,True,1.4071149800898297e-10,9.426834937109522e-11
DUAL2,proxqp,default,0.0008956990059232339,True,-5.826331288261155e-08,8.661200237740729e-07
DUAL2,proxqp,high_accuracy,0.0006848699995316565,True,8.385913491393282e-11,7.489640224379607e-10
DUAL2,qpoases,default,0.0490081669995561,True,1.2272166616256186e-10,4.107825191113079e-15
DUAL2,qpoases,high_accuracy,0.0487765609996131,True,1.2272166616256186e-10,4.107825191113079e-15
DUAL2,qpswift,default,0.0081404329994256,True,1.3029309575696146e-10,2.220446049250313e-16
DUAL2,qpswift,high_accuracy,0.0074020219981321,True,1.227975568451889e-10,0.0
DUAL2,quadprog,default,0.0018913019994215,True,1.2272188126827288e-10,2.220446049250313e-16
DUAL2,quadprog,high_accuracy,0.0018961340028909,True,1.2272188126827288e-10,2.220446049250313e-16
DUAL2,scs,default,0.0023430800065398216,True,-7.859127862386295e-10,2.1457680632330778e-08
DUAL2,scs,high_accuracy,0.0024977540015242994,True,1.2272366456400619e-10,1.1102230246251565e-15
DUAL3,cvxopt,default,0.005823386003612541,True,2.6296391175684164e-09,2.220446049250313e-16
DUAL3,cvxopt,high_accuracy,0.005734083999413997,True,2.6296391175684164e-09,2.220446049250313e-16
DUAL3,ecos,default,0.012652297999011353,True,-3.00574956590971e-09,6.8833827526759706e-15
DUAL3,ecos,high_accuracy,0.013486033989465795,True,-3.00574956590971e-09,6.8833827526759706e-15
DUAL3,highs,default,0.1167141099995205,True,-3.1339787986972567e-09,4.440892098500626e-16
DUAL3,highs,high_accuracy,0.1234237640019273,True,-3.1339787986972567e-09,4.440892098500626e-16
DUAL3,osqp,default,0.00380410099751316,True,-6.984510870777783e-07,3.6374549573089653e-06
DUAL3,osqp,high_accuracy,0.005707392003387213,True,-3.2469808231017083e-09,7.286586810297365e-10
DUAL3,proxqp,default,0.0009602499922038987,True,-2.80167744559634e-09,1.2837252073420522e-06
DUAL3,proxqp,high_accuracy,0.0009069209918379784,True,-3.148144578357659e-09,1.705174539778083e-10
DUAL3,qpoases,default,0.0750312639993353,True,-3.133978992986286e-09,5.551115123125787e-16
DUAL3,qpoases,high_accuracy,0.0739232989999436,True,-3.133978992986286e-09,5.551115123125787e-16
DUAL3,qpswift,default,0.0127911509989644,True,-3.073171911394112e-09,1.1102230246251563e-16
DUAL3,qpswift,high_accuracy,0.0131424790015444,True,-3.073171911394112e-09,1.1102230246251563e-16
DUAL3,quadprog,default,0.0051837259998137,True,-3.1339788819639836e-09,8.881784197001252e-16
DUAL3,quadprog,high_accuracy,0.0048774919996503,True,-3.1339788819639836e-09,8.881784197001252e-16
DUAL3,scs,default,0.00277246099722106,True,-1.6720214152110557e-07,1.061760102372958e-06
DUAL3,scs,high_accuracy,0.003298219002317637,True,-3.1356832130846612e-09,1.1247809917254781e-11
DUAL4,cvxopt,default,0.0020275620045140386,True,9.770818942822501e-08,6.661338147750939e-16
DUAL4,cvxopt,high_accuracy,0.0021673180017387494,True,9.770818942822501e-08,6.661338147750939e-16
DUAL4,ecos,default,0.005116366010042839,True,1.86641979649238e-09,4.218847493575595e-15
DUAL4,ecos,high_accuracy,0.005560333011089824,True,1.86641979649238e-09,4.218847493575595e-15
